Company,VAN,Qté,Article
BIFA,BIFA LIV03,13,CELEBRITY BAR CAKE
BIFA,BIFA LIV03,7,CELEBRITY BARRE
BIFA,BIFA LIV03,12,CELEBRITY MINI BAR
BIFA,BIFA LIV03,168,BESTO NOIRCO 7 PCS
BIFA,BIFA LIV03,120,CHAMIA  90G
BIFA,BIFA LIV03,30,CHAMIA 25G
BIFA,BIFA LIV03,60,LE MOSAIQUE FAMILY
BIFA,BIFA LIV03,18,BRAVA TWIST ECLATS NOISETTES
BIFA,BIFA LIV03,11,DOLCE TABLETTE CHOCOLAT
BIFA,BIFA LIV03,100,WAFERS GM CC
BIFA,BIFA LIV03,120,FAMELIO
BIFA,BIFA LIV03,72,RIGOLO
BIFA,BIFA LIV03,80,BISCUIT SPECULOOS
BIFA,BIFA LIV04,252,BREAK ROLL
BIFA,BIFA LIV04,180,AVANTAGE
BIFA,BIFA LIV04,48,BRAVA BISCUIT SANDWICH
BIFA,BIFA LIV04,360,DAILY JOY CHOCOLATE 125 ML
BIFA,BIFA LIV04,16,BISCUIT RS DUO
BIFA,BIFA LIV04,144,BONITO CHOCOLAT
BIFA,BIFA LIV04,40,DUNAROLL MAXI CREME CACAO
BIFA,BIFA LIV04,10,MINI TALENT CACAHOUETE
BIFA,BIFA LIV04,20,BISCUIT SPECULOOS CRUMBS
BIFA,BIFA LIV04,150,DOLCE WAFER COCOA PLUS
BIFA,BIFA LIV04,21,ROYAL HALVA CHOCOLAT CHAMIA AMANDES
BIFA,BIFA LIV04,450,WAFER CHOCO
BIFA,BIFA LIV04,24,CELEBRITY TWIN
BIFA,BIFA LIV04,11,STORY CHOCOLAT KUNAFA PISTACHE
BIFA,BIFA LIV04,60,DUNAROLL MAXI CREME BLANCHE
BIFA,BIFA LIV04,40,BIG FAMILY CC 8
BIFA,BIFA LIV04,60,DADEY GM BLANC
BIFA,BIFA LIV04,24,CHAMIA 720 G
BIFA,BIFA LIV04,14,BRAVA MINI CHOCOLAT CACAHUETE
BIFA,BIFA LIV04,10,STORY CHOCOLAT SPECULOOS
BIFA,BIFA LIV04,1824,BRINO JUNIOR
BIFA,BIFA LIV04,9,CELEBRITY BROWNIE
BIFA,BIFA LIV04,108,MAX CREME
BIFA,BIFA LIV04,135,MINI CELEBRITY FONDANT
BIFA,BIFA LIV04,264,BRINO CM6 CC
BIFA,BIFA LIV04,24,PATE A TARTINER AUX NOISETTES 750g
BIFA,BIFA LIV04,96,CELEBRITY BEST TIME 9PCS
BIFA,BIFA LIV04,100,WAFERS GM VANILLE
BIFA,BIFA LIV04,360,BRINO BANANE
BIFA,BIFA LIV04,48,CULINA PATE A GLACER PROFESSIONNEL
BIFA,BIFA LIV04,12,STORY CHOCOLAT NOIR 70% CACAO
BIFA,BIFA LIV04,240,CELEBRITY BEST TIME
BIFA,BIFA LIV04,13,STORY BARRE KUNAFA PISTACHE
