antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'BRINO JUNIOR'}),"frozenset({'BRINO BANANE', 'CELEBRITY FONDANT'})",0.26779026217228463,0.06179775280898876,0.056179775280898875,0.2097902097902098,3.394787031150668,1.0,0.039630938854521736,1.1872824898080938,0.9634271099744245,0.2054794520547945,0.1577404631296847,0.5594405594405594
"frozenset({'BRINO BANANE', 'CELEBRITY FONDANT'})",frozenset({'BRINO JUNIOR'}),0.06179775280898876,0.26779026217228463,0.056179775280898875,0.9090909090909091,3.3947870311506674,1.0,0.039630938854521736,8.054307116104866,0.7518962075848303,0.2054794520547945,0.8758428272494768,0.5594405594405594
frozenset({'BESTO NOIR PM'}),"frozenset({'CELEBRITY FONDANT', 'BRINO JUNIOR'})",0.11797752808988764,0.13108614232209737,0.05056179775280899,0.42857142857142855,3.269387755102041,1.0,0.035096578714808736,1.5205992509363297,0.7869780608634112,0.25471698113207547,0.3423645320197044,0.40714285714285714
"frozenset({'CELEBRITY FONDANT', 'BRINO JUNIOR'})",frozenset({'BESTO NOIR PM'}),0.13108614232209737,0.11797752808988764,0.05056179775280899,0.38571428571428573,3.269387755102041,1.0,0.035096578714808736,1.4358505356676248,0.7988505747126436,0.25471698113207547,0.3035486806187443,0.40714285714285714
frozenset({'WAFERS GM CC'}),frozenset({'WAFER CHOCO'}),0.12921348314606743,0.15730337078651685,0.06554307116104868,0.5072463768115941,3.22463768115942,1.0,0.045217354711105495,1.7101784534038333,0.792258064516129,0.29661016949152536,0.4152657004830917,0.4619565217391304
frozenset({'WAFER CHOCO'}),frozenset({'WAFERS GM CC'}),0.15730337078651685,0.12921348314606743,0.06554307116104868,0.41666666666666663,3.22463768115942,1.0,0.045217354711105495,1.492776886035313,0.8186666666666667,0.29661016949152536,0.3301075268817204,0.4619565217391304
frozenset({'WAFERS GM VANILLE'}),frozenset({'WAFER CHOCO'}),0.11610486891385768,0.15730337078651685,0.05805243445692884,0.5,3.178571428571429,1.0,0.039788747212052354,1.6853932584269664,0.7754237288135594,0.26956521739130435,0.4066666666666666,0.43452380952380953
"frozenset({'DUNAROLL ROUGE', 'BRINO JUNIOR'})",frozenset({'WAFER CHOCO'}),0.11610486891385768,0.15730337078651685,0.05805243445692884,0.5,3.178571428571429,1.0,0.039788747212052354,1.6853932584269664,0.7754237288135594,0.26956521739130435,0.4066666666666666,0.43452380952380953
frozenset({'WAFER CHOCO'}),frozenset({'WAFERS GM VANILLE'}),0.15730337078651685,0.11610486891385768,0.05805243445692884,0.36904761904761907,3.1785714285714284,1.0,0.039788747212052354,1.4008903964384143,0.8133333333333334,0.26956521739130435,0.28616828087167073,0.43452380952380953
frozenset({'WAFER CHOCO'}),"frozenset({'DUNAROLL ROUGE', 'BRINO JUNIOR'})",0.15730337078651685,0.11610486891385768,0.05805243445692884,0.36904761904761907,3.1785714285714284,1.0,0.039788747212052354,1.4008903964384143,0.8133333333333334,0.26956521739130435,0.28616828087167073,0.43452380952380953
"frozenset({'CELEBRITY FONDANT', 'DUNAROLL ROUGE'})",frozenset({'WAFER CHOCO'}),0.10299625468164794,0.15730337078651685,0.05056179775280899,0.4909090909090909,3.120779220779221,1.0,0.0343601397129992,1.6552969502407708,0.7575968452795175,0.2410714285714286,0.39587878787878783,0.4061688311688312
frozenset({'WAFER CHOCO'}),"frozenset({'CELEBRITY FONDANT', 'DUNAROLL ROUGE'})",0.15730337078651685,0.10299625468164794,0.05056179775280899,0.32142857142857145,3.120779220779221,1.0,0.0343601397129992,1.321900256258624,0.8064197530864197,0.2410714285714286,0.2435132716969878,0.4061688311688312
frozenset({'BRINO BANANE'}),frozenset({'BRINO JUNIOR'}),0.12172284644194757,0.26779026217228463,0.10112359550561797,0.8307692307692307,3.1023130715438407,1.0,0.0685274025445721,4.326693905345589,0.771578614862197,0.3506493506493506,0.7688766476490261,0.6041958041958042
frozenset({'BRINO JUNIOR'}),frozenset({'BRINO BANANE'}),0.26779026217228463,0.12172284644194757,0.10112359550561797,0.3776223776223776,3.1023130715438403,1.0,0.0685274025445721,1.4111644152674325,0.9254996684664204,0.3506493506493506,0.2913653510668435,0.6041958041958042
frozenset({'BISCUIT RS DUO'}),frozenset({'CELEBRITY FONDANT'}),0.08801498127340825,0.2209737827715356,0.0599250936329588,0.6808510638297872,3.0811395600432743,1.0,0.04047609028040791,2.440948813982522,0.7406314168377822,0.24060150375939848,0.590323240589198,0.4760187522538767
frozenset({'CELEBRITY FONDANT'}),frozenset({'BISCUIT RS DUO'}),0.2209737827715356,0.08801498127340825,0.0599250936329588,0.2711864406779661,3.0811395600432743,1.0,0.04047609028040791,1.2513282815085793,0.8670372596153846,0.24060150375939848,0.20084919778651725,0.4760187522538767
frozenset({'CELEBRITY MINI BAR'}),"frozenset({'CELEBRITY FONDANT', 'BRINO JUNIOR'})",0.1254681647940075,0.13108614232209737,0.05056179775280899,0.40298507462686567,3.0742004264392326,1.0,0.034114660045729356,1.455430711610487,0.7715124117693711,0.2454545454545455,0.3129181677817808,0.3943496801705757
"frozenset({'CELEBRITY FONDANT', 'BRINO JUNIOR'})",frozenset({'CELEBRITY MINI BAR'}),0.13108614232209737,0.1254681647940075,0.05056179775280899,0.38571428571428573,3.0742004264392326,1.0,0.034114660045729356,1.423656475916732,0.776500638569604,0.2454545454545455,0.2975833588253288,0.3943496801705757
"frozenset({'CELEBRITY MINI BAR', 'BRINO JUNIOR'})",frozenset({'CELEBRITY FONDANT'}),0.0749063670411985,0.2209737827715356,0.05056179775280899,0.6749999999999999,3.054661016949152,1.0,0.03400945447404227,2.3970037453183517,0.7270955165692007,0.20610687022900764,0.5828125,0.4519067796610169
frozenset({'CELEBRITY FONDANT'}),"frozenset({'CELEBRITY MINI BAR', 'BRINO JUNIOR'})",0.2209737827715356,0.0749063670411985,0.05056179775280899,0.22881355932203387,3.054661016949152,1.0,0.03400945447404227,1.1995719636169073,0.8634259259259257,0.20610687022900764,0.16636931311329167,0.4519067796610169
frozenset({'CELEBRITY BROWNIE'}),frozenset({'DUNAROLL ROUGE'}),0.08052434456928839,0.20786516853932585,0.05056179775280899,0.627906976744186,3.0207416719044624,1.0,0.03382359129739511,2.128862359550562,0.7275401674587011,0.21259842519685038,0.5302655451096816,0.4355751099937146
"frozenset({'CELEBRITY FONDANT', 'WAFER CHOCO'})",frozenset({'DUNAROLL ROUGE'}),0.08052434456928839,0.20786516853932585,0.05056179775280899,0.627906976744186,3.0207416719044624,1.0,0.03382359129739511,2.128862359550562,0.7275401674587011,0.21259842519685038,0.5302655451096816,0.4355751099937146
frozenset({'DUNAROLL ROUGE'}),frozenset({'CELEBRITY BROWNIE'}),0.20786516853932585,0.08052434456928839,0.05056179775280899,0.24324324324324323,3.0207416719044624,1.0,0.03382359129739511,1.2150214018191545,0.8444969792487522,0.21259842519685038,0.17696922992238673,0.4355751099937146
frozenset({'DUNAROLL ROUGE'}),"frozenset({'CELEBRITY FONDANT', 'WAFER CHOCO'})",0.20786516853932585,0.08052434456928839,0.05056179775280899,0.24324324324324323,3.0207416719044624,1.0,0.03382359129739511,1.2150214018191545,0.8444969792487522,0.21259842519685038,0.17696922992238673,0.4355751099937146
frozenset({'BRINO NOIR VANILLE'}),frozenset({'BRINO JUNIOR'}),0.06367041198501873,0.26779026217228463,0.05056179775280899,0.7941176470588235,2.9654463183874946,1.0,0.03351148143472345,3.556447298020331,0.7078518518518518,0.18000000000000002,0.7188205205355799,0.49146441793500617
frozenset({'BRINO JUNIOR'}),frozenset({'BRINO NOIR VANILLE'}),0.26779026217228463,0.06367041198501873,0.05056179775280899,0.1888111888111888,2.9654463183874946,1.0,0.03351148143472345,1.1542683714322612,0.9051813962299895,0.18000000000000002,0.13365034965034966,0.49146441793500617
frozenset({'MINI CELEBRITY FONDANT'}),frozenset({'CELEBRITY FONDANT'}),0.08052434456928839,0.2209737827715356,0.052434456928838954,0.6511627906976745,2.9467875443437133,1.0,0.03464068790416474,2.233208489388265,0.7185045097468723,0.2105263157894737,0.5522137745974955,0.4442254631454474
frozenset({'CELEBRITY FONDANT'}),frozenset({'MINI CELEBRITY FONDANT'}),0.2209737827715356,0.08052434456928839,0.052434456928838954,0.23728813559322035,2.946787544343713,1.0,0.03464068790416474,1.2055347482313776,0.8480425824175823,0.2105263157894737,0.17049259553315613,0.4442254631454474
"frozenset({'BESTO NOIR PM', 'BRINO JUNIOR'})",frozenset({'CELEBRITY FONDANT'}),0.07865168539325842,0.2209737827715356,0.05056179775280899,0.6428571428571429,2.9092009685230025,1.0,0.03318183731010394,2.1812734082397007,0.7122854561878952,0.20300751879699247,0.5415521978021979,0.4358353510895884
frozenset({'CELEBRITY FONDANT'}),"frozenset({'BESTO NOIR PM', 'BRINO JUNIOR'})",0.2209737827715356,0.07865168539325842,0.05056179775280899,0.22881355932203387,2.909200968523002,1.0,0.03318183731010394,1.1947153969625879,0.8424145299145298,0.20300751879699247,0.1629805704836709,0.4358353510895884
frozenset({'CELEBRITY BROWNIE'}),frozenset({'CELEBRITY FONDANT'}),0.08052434456928839,0.2209737827715356,0.05056179775280899,0.627906976744186,2.8415451320457232,1.0,0.03276802872813477,2.093632958801498,0.7048351814135928,0.20149253731343283,0.5223613595706619,0.42836026803310995
frozenset({'CELEBRITY FONDANT'}),frozenset({'CELEBRITY BROWNIE'}),0.2209737827715356,0.08052434456928839,0.05056179775280899,0.22881355932203387,2.841545132045723,1.0,0.03276802872813477,1.1922871136354283,0.8319088319088318,0.20149253731343283,0.16127584659463562,0.42836026803310995
frozenset({'CELEBRITY FONDANT'}),frozenset({'CELEBRITY MINI BAR'}),0.2209737827715356,0.1254681647940075,0.07865168539325842,0.3559322033898305,2.8368327852264104,1.0,0.05092651040132418,1.3578257441356198,0.8311584249084248,0.2937062937062937,0.26352847239864985,0.49139893751581076
frozenset({'CELEBRITY MINI BAR'}),frozenset({'CELEBRITY FONDANT'}),0.1254681647940075,0.2209737827715356,0.07865168539325842,0.626865671641791,2.83683278522641,1.0,0.05092651040132418,2.0877902621722844,0.7403895176914449,0.2937062937062937,0.5210246842709528,0.49139893751581076
"frozenset({'BRINO JUNIOR', 'WAFER CHOCO'})",frozenset({'DUNAROLL ROUGE'}),0.09925093632958802,0.20786516853932585,0.05805243445692884,0.5849056603773585,2.8138704742478327,1.0,0.03742162184909313,1.9083248212461696,0.7156461672590706,0.23308270676691728,0.4759801953699986,0.43209246982831884
frozenset({'DUNAROLL ROUGE'}),"frozenset({'BRINO JUNIOR', 'WAFER CHOCO'})",0.20786516853932585,0.09925093632958802,0.05805243445692884,0.27927927927927926,2.813870474247832,1.0,0.03742162184909313,1.2497893258426966,0.8137725920841912,0.23308270676691728,0.19986514581109172,0.43209246982831884
frozenset({'WAFER CHOCO'}),frozenset({'DUNAROLL ROUGE'}),0.15730337078651685,0.20786516853932585,0.09176029962546817,0.5833333333333334,2.8063063063063063,1.0,0.059062407945124774,1.9011235955056183,0.7638095238095237,0.3356164383561644,0.4739952718676123,0.5123873873873874
frozenset({'DUNAROLL ROUGE'}),frozenset({'WAFER CHOCO'}),0.20786516853932585,0.15730337078651685,0.09176029962546817,0.44144144144144143,2.8063063063063063,1.0,0.059062407945124774,1.5086988039144618,0.8125633232016211,0.3356164383561644,0.33717717717717716,0.5123873873873874
"frozenset({'CELEBRITY FONDANT', 'BESTO NOIR PM'})",frozenset({'BRINO JUNIOR'}),0.06741573033707865,0.26779026217228463,0.05056179775280899,0.75,2.800699300699301,1.0,0.03250852165130665,2.9288389513108615,0.6894243641231592,0.17763157894736845,0.6585677749360613,0.4694055944055944
frozenset({'BRINO JUNIOR'}),"frozenset({'CELEBRITY FONDANT', 'BESTO NOIR PM'})",0.26779026217228463,0.06741573033707865,0.05056179775280899,0.1888111888111888,2.800699300699301,1.0,0.03250852165130665,1.1496512979465323,0.8780903665814151,0.17763157894736845,0.1301710337854916,0.4694055944055944
